Unnamed: 0,text,code,task_id,test_list,Unnamed: 5
309, this function to convert a given string to a tuple.,"function stringToTuple(str1) {
    let result = Array.from(str1).filter(x => !/\s/.test(x));
    return result;  
}",310,"[
    console.assert(JSON.stringify(stringToTuple(""  3.0"")) === JSON.stringify(['3', '.', '0']), ""Test 1 Failed""),
    console.assert(JSON.stringify(stringToTuple(""item1"")) === JSON.stringify(['i', 't', 'e', 'm', '1']), ""Test 2 Failed""),
    console.assert(JSON.stringify(stringToTuple(""15.10"")) === JSON.stringify(['1', '5', '.', '1', '0']), ""Test 3 Failed"")
]",
310, this   function to set the left most unset bit.,"
function setLeftMostUnsetBit(n) {
    if (!(n & (n + 1))) {
        return n;
    }
    let pos = 0, temp = n, count = 0;
    while (temp) {
        if (!(temp & 1)) {
            pos = count;
        }
        count += 1; 
        temp >>= 1;
    }
    return (n | (1 << pos));
}
",311,"[
  console.assert(setLeftMostUnsetBit(10) === 14),
  console.assert(setLeftMostUnsetBit(12) === 14),
  console.assert(setLeftMostUnsetBit(15) === 15)
]",
311, this function to find the volume of a cone.,"function volumeCone(r, h) {
    var volume = (1.0 / 3) * Math.PI * r * r * h;
    return volume;
}",312,"[
    console.assert(volumeCone(5,12) === 314.15926535897927),
    console.assert(volumeCone(10,15) === 1570.7963267948965),
    console.assert(volumeCone(19,17) === 6426.651371693521)
]",
312, this   function to print positive numbers in a list.,"function pos_nos(list1) {
    let positiveNumbers = []; 
    for (let num of list1) {
        if (num >= 0) {
            positiveNumbers.push(num); 
        }
    }
    return positiveNumbers; 
}",313,"[
    console.assert(JSON.stringify(pos_nos([-1,-2,1,2])) === JSON.stringify([1, 2]), ""Test case failed""),
    console.assert(JSON.stringify(pos_nos([3,4,-5])) === JSON.stringify([3, 4]), ""Test case failed""),
    console.assert(JSON.stringify(pos_nos([-2,-3,1])) === JSON.stringify([1]), ""Test case failed"")
]",
313, this function to find out the maximum sum such that no two chosen numbers are adjacent for the given rectangular grid of dimension 2 x n.,"
function maxSumRectangularGrid(grid, n) {
    let incl = Math.max(grid[0][0], grid[1][0]);
    let excl = 0;
    for (let i = 1; i < n; i++) {
        let excl_new = Math.max(excl, incl);
        incl = excl + Math.max(grid[0][i], grid[1][i]);
        excl = excl_new;
    }
    return Math.max(excl, incl);
}
",314,"[
  console.assert(maxSumRectangularGrid([[1, 4, 5], [2, 0, 0]], 3) === 7),
  console.assert(maxSumRectangularGrid([[1, 2, 3, 4, 5], [6, 7, 8, 9, 10]], 5) === 24),
  console.assert(maxSumRectangularGrid([[7, 9, 11, 15, 19], [21, 25, 28, 31, 32]], 5) === 81)
]",
314, this   function to find the first maximum length of even word.,"function find_Max_Len_Even(str) {
    let n = str.length;
    let i = 0;
    let currlen = 0;
    let maxlen = 0;
    let st = -1;

    while (i < n) {
        if (str[i] === ' ' || i === n - 1) {  
            if (str[i] !== ' ') {
                currlen += 1; 
            }

            if (currlen % 2 === 0) {
                if (maxlen < currlen) {
                    maxlen = currlen;
                    st = i - currlen + 1;
                }
            }
            currlen = 0;
        } else {
            currlen += 1;
        }
        i += 1;
    }

    if (st === -1) {
        return ""-1"";
    }
    return str.substring(st, st + maxlen);
}",315,"[
    console.assert(find_Max_Len_Even(""  language"") === ""language"", ""Test case failed""),
    console.assert(find_Max_Len_Even(""maximum even length"") === ""length"", ""Test case failed""),
    console.assert(find_Max_Len_Even(""eve"") === ""-1"", ""Test case failed"")
]",
315, this function to find the index of the last occurrence of a given number in a sorted array.,"
function findLastOccurrence(A, x) {
    let left = 0, right = A.length - 1;
    let result = -1;
    while (left <= right) {
        let mid = Math.floor((left + right) / 2);
        if (x === A[mid]) {
            result = mid;
            left = mid + 1;
        } else if (x < A[mid]) {
            right = mid - 1;
        } else {
            left = mid + 1;
        }
    }
    return result;
}
",316,"
[console.assert(findLastOccurrence([2, 5, 5, 5, 6, 6, 8, 9, 9, 9], 5) === 3), console.assert(findLastOccurrence([2, 3, 5, 8, 6, 6, 8, 9, 9, 9], 9) === 9), console.assert(findLastOccurrence([2, 2, 1, 5, 6, 6, 6, 9, 9, 9], 6) === 6)]
",
316, this function to reflect the modified run-length encoding from a list.,"function modifiedEncode(alist) {
    function ctrEle(el) {
        if (el.length > 1) return [el.length, el[0]];
        else return el[0];
    }

    const grouped = [];
    let currentKey = null;
    let currentGroup = [];

    alist.forEach((item) => {
        if (item !== currentKey) {
            if (currentGroup.length > 0) {
                grouped.push(ctrEle(currentGroup));
            }
            currentKey = item;
            currentGroup = [item];
        } else {
            currentGroup.push(item);
        }
    });

    if (currentGroup.length > 0) {
        grouped.push(ctrEle(currentGroup));
    }

    return grouped;
}",317,"
[console.assert(modifiedEncode([1, 1, 2, 3, 4, 4, 5, 1]).toString() === [[2, 1], 2, 3, [2, 4], 5, 1].toString()), console.assert(modifiedEncode(""a[console.assert(modifiedEncode([1, 1, 2, 3, 4, 4, 5, 1]).toString() === [[2, 1], 2, 3, [2, 4], 5, 1].toString()),
console.assert(modifiedEncode(""automatically"".split('')).toString() === [""a"", ""u"", ""t"", ""o"", ""m"", ""a"", ""t"", ""i"", ""c"", ""a"", [2, ""l""], ""y""].toString()),
console.assert(modifiedEncode("" "".split('')).toString() === [' '].toString())]utomatically"").toString() === [""a"", ""u"", ""t"", ""o"", ""m"", ""a"", ""t"", ""i"", ""c"", ""a"", [2, ""l""], ""y""].toString()), console.assert(modifiedEncode("" "").toString() === [""p"", ""y"", ""t"", ""h"", ""o"", ""n""].toString())]
",
317, this   function to find the maximum volume of a cuboid with given sum of sides.,"
function maxVolume(s) {
    let maxvalue = 0;
    for (let i = 1; i < s - 1; i++) {
        for (let j = 1; j < s; j++) {
            let k = s - i - j;
            maxvalue = Math.max(maxvalue, i * j * k);
        }
    }
    return maxvalue;
}
",318,"
[console.assert(maxVolume(8) === 18), console.assert(maxVolume(4) === 2), console.assert(maxVolume(1) === 0)]
",
318, this function to find all five characters long word in the given string by using regex.,"
function findLongWord(text) {
  return text.match(/\b\w{5}\b/g);
}
",319,"[
  console.assert(findLongWord(""Please move back to strem"").toString() === [""strem""].toString()),
  console.assert(findLongWord(""4K Ultra HD streaming player"").toString() === [""Ultra""].toString()),
  console.assert(findLongWord(""Streaming Media Player"").toString() === [""Media""].toString())
]",
319, this function to calculate the difference between the squared sum of first n natural numbers and the sum of squared first n natural numbers.,"
function sumDifference(n) {
    let sumOfSquares = 0;
    let squareOfSum = 0;
    for (let num = 1; num <= n; num++) {
        sumOfSquares += num * num;
        squareOfSum += num;
    }
    squareOfSum = squareOfSum ** 2;
    return squareOfSum - sumOfSquares;
}
",320,"
[console.assert(sumDifference(12) === 5434), console.assert(sumDifference(20) === 41230), console.assert(sumDifference(54) === 2151270)]
",
320, this function to find the demlo number for the given number.,"
function find_demlo(s) {
    let l = s.length;
    let res = """";
    for (let i = 1; i <= l; i++) {
        res += i.toString();
    }
    for (let i = l - 1; i > 0; i--) {
        res += i.toString();
    }
    return res;
}
",321,"
[console.assert(find_demlo(""111111"") === ""12345654321""), console.assert(find_demlo(""1111"") === ""1234321""), console.assert(find_demlo(""13333122222"") === ""123456789101110987654321"")]
",
321, this function to find all index positions of the minimum values in a given list.,"
function positionMin(list1) {
    const minVal = Math.min(...list1);
    const minResult = list1.map((j, i) => j === minVal ? i : -1).filter(i => i !== -1);
    return [minResult];
}
",322,"
[console.assert(positionMin([12,33,23,10,67,89,45,667,23,12,11,10,54]).toString() === [3,11].toString()), 
 console.assert(positionMin([1,2,2,2,4,4,4,5,5,5,5]).toString() === [0].toString()), 
 console.assert(positionMin([2,1,5,6,8,3,4,9,10,11,8,12]).toString() === [1].toString())]
",
322, this function to re-arrange the given array in alternating positive and negative items.,"
function rightRotate(arr, n, outOfPlace, cur) {
    let temp = arr[cur];
    for (let i = cur; i > outOfPlace; i--) {
        arr[i] = arr[i - 1];
    }
    arr[outOfPlace] = temp;
    return arr;
}

function reArrange(arr, n) {
    let outOfPlace = -1;
    for (let index = 0; index < n; index++) {
        if (outOfPlace >= 0) {
            if ((arr[index] >= 0 && arr[outOfPlace] < 0) || (arr[index] < 0 && arr[outOfPlace] >= 0)) {
                arr = rightRotate(arr, n, outOfPlace, index);
                if (index - outOfPlace > 2) {
                    outOfPlace += 2;
                } else {
                    outOfPlace = -1;
                }
            }
        }
        if (outOfPlace === -1) {
            if ((arr[index] >= 0 && index % 2 === 0) || (arr[index] < 0 && index % 2 === 1)) {
                outOfPlace = index;
            }
        }
    }
    return arr;
}
",323,"[
  console.assert(JSON.stringify(reArrange([-5, -2, 5, 2, 4, 7, 1, 8, 0, -8], 10)) === JSON.stringify([-5, 5, -2, 2, -8, 4, 7, 1, 8, 0])),
  console.assert(JSON.stringify(reArrange([1, 2, 3, -4, -1, 4], 6)) === JSON.stringify([-4, 1, -1, 2, 3, 4])),
  console.assert(JSON.stringify(reArrange([4, 7, 9, 77, -4, 5, -3, -9], 8)) === JSON.stringify([-4, 4, -3, 7, -9, 9, 77, 5]))
]",
323, this function to extract the sum of alternate chains of tuples.,"function sumOfAlternates(testTuple) {
    let sum1 = 0;
    let sum2 = 0;
    for (let idx = 0; idx < testTuple.length; idx++) {
        let ele = testTuple[idx];
        if (idx % 2) {
            sum1 += ele;
        } else {
            sum2 += ele;
        }
    }
    return [sum1, sum2]; 
}",324,"[
console.assert(JSON.stringify(sumOfAlternates([5, 6, 3, 6, 10, 34])) === JSON.stringify([46, 18])),
console.assert(JSON.stringify(sumOfAlternates([1, 2, 3, 4, 5])) === JSON.stringify([6, 9])),
console.assert(JSON.stringify(sumOfAlternates([6, 7, 8, 9, 4, 5])) === JSON.stringify([21, 18]))
  ]",
324, this   function to find the minimum number of squares whose sum is equal to a given number.,"
function getMinSquares(n) {
    if (n <= 3) {
        return n;
    }
    let res = n;
    for (let x = 1; x <= n; x++) {
        let temp = x * x;
        if (temp > n) {
            break;
        } else {
            res = Math.min(res, 1 + getMinSquares(n - temp));
        }
    }
    return res;
}
",325,"
[console.assert(getMinSquares(6) === 3), console.assert(getMinSquares(2) === 2), console.assert(getMinSquares(4) === 1)]
",
325, this function to get the word with most number of occurrences in the given strings list.,"function mostOccurrences(testList) {
    const temp = {};
    for (const sub of testList) {
        sub.split(/\s+/).forEach(wrd => {
            temp[wrd] = (temp[wrd] || 0) + 1;
        });
    }

    const maxCount = Math.max(...Object.values(temp));
    const mostFrequentWords = Object.keys(temp).filter(word => temp[word] === maxCount);
    return [mostFrequentWords[0]];
}",326,"[console.assert(JSON.stringify(mostOccurrences([""UTS is best for RTF"", ""RTF love UTS""])) === JSON.stringify([""UTS""])),
console.assert(JSON.stringify(mostOccurrences([""Its been a great year"", ""this year is so worse"", ""this year is okay""])) === JSON.stringify([""year""])),
console.assert(JSON.stringify(mostOccurrences([""Families can be reunited"", ""people can be reunited"", ""Tasks can be achieved ""])) === JSON.stringify([""can""]))]",
326, this function to print check if the triangle is isosceles or not.,"
function checkIsosceles(x, y, z) {
  if (x === y || y === z || z === x) {
    return true;
  } else {
    return false;
  }
}
",327,"
[console.assert(checkIsosceles(6, 8, 12) === false), console.assert(checkIsosceles(6, 6, 12) === true), console.assert(checkIsosceles(6, 16, 20) === false)]
",
327, this function to rotate a given list by specified number of items to the left direction.,"function rotateLeft(list1, m, n) {
    if (list1.length === 0) return [];

    m = m % list1.length;
    n = n % list1.length;

    let firstPart = list1.slice(m, m + n); 
    let secondPart = list1.slice(0, m); 
    let thirdPart = list1.slice(m + n); 

    let result = firstPart.concat(secondPart, thirdPart);
    return result;
}",328,"[
    console.assert(rotateLeft([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 3, 4).toString() === [4, 5, 6, 7, 1, 2, 3, 8, 9, 10].toString()), 
    console.assert(rotateLeft([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 2, 2).toString() === [3, 4, 1, 2, 5, 6, 7, 8, 9, 10].toString()), 
    console.assert(rotateLeft([1, 2, 3, 4, 5], 0, 2).toString() === [1, 2, 3, 4, 5].toString())]
  ",
328, this   function to count negative numbers in a list.,"
function negCount(arr) {
  let negCount = 0;
  for (let num of arr) {
    if (num <= 0) {
      negCount += 1;
    }
  }
  return negCount;
}
",329,"[
  console.assert(negCount([-1, -2, 3, -4, -5]) === 4),
  console.assert(negCount([1, 2, 3]) === 0),
  console.assert(negCount([1, 2, -3, -10, 20]) === 2)
]",
329," this function to find all three, four, five characters long words in the given string by using regex.","
function findChar(text) {
  return text.match(/\b\w{3,5}\b/g);
}
",330,"[
  console.assert(findChar(""For the four consumer complaints contact manager AKR reddy"").toString() === [""For"", ""the"", ""four"", ""AKR"", ""reddy""].toString()),
  console.assert(findChar(""Certain service are subject to change MSR"").toString() === [""are"", ""MSR""].toString()),
  console.assert(findChar(""Third party legal desclaimers"").toString() === [""Third"", ""party"", ""legal""].toString())
]",
330, this   function to count unset bits of a given number.,"
function countUnsetBits(n) { 
    let count = 0; 
    let x = 1; 
    while (x < n + 1) { 
        if ((x & n) === 0) { 
            count++; 
        } 
        x = x << 1; 
    } 
    return count; 
}
",331,"
[console.assert(countUnsetBits(2) === 1), console.assert(countUnsetBits(4) === 2), console.assert(countUnsetBits(6) === 1)]
",
331, this function to count character frequency of a given string.,"
function charFrequency(str1) {
    let dict = {};
    for (let n of str1) {
        if (n in dict) {
            dict[n] += 1;
        } else {
            dict[n] = 1;
        }
    }
    return dict;
}
",332,"[
  console.assert(charFrequency(""python"").toString() === {p: 1, y: 1, t: 1, h: 1, o: 1, n: 1}.toString()),
  console.assert(charFrequency(""program"").toString() === {p: 1, r: 2, o: 1, g: 1, a: 1, m: 1}.toString()),
  console.assert(charFrequency(""language"").toString() === {l: 1, a: 2, n: 1, g: 2, u: 1, e: 1}.toString())
]",
332, this   function to sort a list according to the second element in sublist.,"
function Sort(sub_li) {
    sub_li.sort((a, b) => a[1] - b[1]);
    return sub_li;
}
",333,"[
  console.assert(JSON.stringify(Sort([[""a"", 10], [""b"", 5], [""c"", 20], [""d"", 15]])) === JSON.stringify([[""b"", 5], [""a"", 10], [""d"", 15], [""c"", 20]])),
  console.assert(JSON.stringify(Sort([[""452"", 10], [""256"", 5], [""100"", 20], [""135"", 15]])) === JSON.stringify([[""256"", 5], [""452"", 10], [""135"", 15], [""100"", 20]])),
  console.assert(JSON.stringify(Sort([[""rishi"", 10], [""akhil"", 5], [""ramya"", 20], [""gaur"", 15]])) === JSON.stringify([[""akhil"", 5], [""rishi"", 10], [""gaur"", 15], [""ramya"", 20]]))
]",
333, this   function to check whether the triangle is valid or not if sides are given.,"
function check_Validity(a, b, c) {  
    if ((a + b <= c) || (a + c <= b) || (b + c <= a)) { 
        return false;
    } else { 
        return true; 
    }
}
",334,"
[console.assert(check_Validity(1, 2, 3) === false), console.assert(check_Validity(2, 3, 5) === false), console.assert(check_Validity(7, 10, 5) === true)]
",
334, this function to find the sum of arithmetic progression.,"
function ap_sum(a, n, d) {
  let total = (n * (2 * a + (n - 1) * d)) / 2;
  return total;
}
",335,"
[console.assert(ap_sum(1,5,2) === 25), console.assert(ap_sum(2,6,4) === 72), console.assert(ap_sum(1,4,5) === 34)]
",
335, this function to check whether the given month name contains 28 days or not.,"
function checkMonthNum(monthname1) {
  if (monthname1 === ""February"") {
    return true;
  } else {
    return false;
  }
}
",336,"
[console.assert(checkMonthNum(""February"") === true), console.assert(checkMonthNum(""January"") === false), console.assert(checkMonthNum(""March"") === false)]
",
336," this function that matches a word at the end of a string, with optional punctuation.","function textMatchWord(text) {
    const pattern = /([a-zA-Z0-9]+)\b[^\w]*$/; 
    const trimmedText = text.trim(); 

    const match = trimmedText.match(pattern);
    return match ? ""Found a match!"" : ""Not matched!"";
}",337,"[console.assert(textMatchWord("" ."") === ""Not matched!"", 'Test Case 1 Failed'),  
console.assert(textMatchWord("" ."") === ""Not matched!"", 'Test Case 2 Failed'),
console.assert(textMatchWord(""  lang  ."") === ""Found a match!"", 'Test Case 3 Failed')]",
337, this   function to count the number of substrings with same first and last characters.,"function count_Substring_With_Equal_Ends(s) { 
    let result = 0; 
    const n = s.length; 
    for (let i = 0; i < n; i++) {
        for (let j = 1; j <= n - i; j++) { 
            if (s[i] === s[i + j - 1]) { 
                result++; 
            } 
        } 
    } 
    return result; 
}",338,"[
  console.assert(count_Substring_With_Equal_Ends(""aba"") === 4),
  console.assert(count_Substring_With_Equal_Ends(""abcab"") === 7),
  console.assert(count_Substring_With_Equal_Ends(""abc"") === 3)
]",
338, this   function to find the maximum occuring divisor in an interval.,"
function find_Divisor(x, y) {
    if (x === y) {
        return y;
    }
    return 2;
}
",339,"
[console.assert(find_Divisor(2, 2) === 2), console.assert(find_Divisor(2, 5) === 2), console.assert(find_Divisor(5, 10) === 2)]
",
339, this   function to find the sum of the three lowest positive numbers from a given list of numbers.,"function sumThreeSmallestNums(lst) {
    return lst.filter(x => x > 0) 
              .sort((a, b) => a - b)  
              .slice(0, 3)  
              .reduce((a, b) => a + b, 0);  
}",340,"[console.assert(sumThreeSmallestNums([10,20,30,40,50,60,7]) === 37), console.assert(sumThreeSmallestNums([1,2,3,4,5]) === 6), console.assert(sumThreeSmallestNums([0,1,2,3,4,5]) === 6)]",
340, this function to convert the given set into ordered tuples.,"
function setToTuple(s) {
  const t = Array.from(s).sort();
  return [t];
}
",341,"[console.assert(JSON.stringify(setToTuple(new Set([1, 2, 3, 4, 5])))) === JSON.stringify([1, 2, 3, 4, 5]), console.assert(JSON.stringify(setToTuple(new Set([6, 7, 8, 9, 10, 11])))) === JSON.stringify([6, 7, 8, 9, 10, 11]), console.assert(JSON.stringify(setToTuple(new Set([12, 13, 14, 15, 16])))) === JSON.stringify([12, 13, 14, 15, 16])]",
341, this function to find the smallest range that includes at-least one element from each of the given arrays.,"
class Node {
    constructor(value, listNum, index) {
        this.value = value;
        this.listNum = listNum;
        this.index = index;
    }
}

function findMinimumRange(lists) {
    let high = -Infinity;
    let p = [0, Infinity];
    let pq = [];

    for (let i = 0; i < lists.length; i++) {
        pq.push(new Node(lists[i][0], i, 0));
        high = Math.max(high, lists[i][0]);
    }

    while (true) {
        pq.sort((a, b) => a.value - b.value);
        let top = pq.shift();
        let low = top.value;
        let i = top.listNum;
        let j = top.index;

        if (high - low < p[1] - p[0]) {
            p = [low, high];
        }

        if (j === lists[i].length - 1) {
            return p;
        }

        pq.push(new Node(lists[i][j + 1], i, j + 1));
        high = Math.max(high, lists[i][j + 1]);
    }
}
",342,"[
  console.assert(JSON.stringify(findMinimumRange([[3, 6, 8, 10, 15], [1, 5, 12], [4, 8, 15, 16], [2, 6]])) === JSON.stringify([4, 6]), ""Test Case 1 Failed""),
  console.assert(JSON.stringify(findMinimumRange([[2, 3, 4, 8, 10, 15], [1, 5, 12], [7, 8, 15, 16], [3, 6]])) === JSON.stringify([4, 7]), ""Test Case 2 Failed""),
  console.assert(JSON.stringify(findMinimumRange([[4, 7, 9, 11, 16], [2, 6, 13], [5, 9, 16, 17], [3, 7]])) === JSON.stringify([5, 7]), ""Test Case 3 Failed"")
]",
342, this function to calculate the number of digits and letters in a string.,"function dig_let(s) {
    const digitCount = (s.match(/\d/g) || []).length; 
    return [digitCount];
}",343,"[console.assert(JSON.stringify(dig_let("" "")) === JSON.stringify([0]), 'Test Case 1 Failed'),
console.assert(JSON.stringify(dig_let(""program"")) === JSON.stringify([ 0]), 'Test Case 2 Failed'),
console.assert(JSON.stringify(dig_let("" 3.0"")) === JSON.stringify([2]), 'Test Case 3 Failed')]",
343, this   function to find number of elements with odd factors in a given range.,"
function count_Odd_Squares(n, m) {
    return Math.floor(Math.sqrt(m)) - Math.floor(Math.sqrt(n - 1));
}
",344,"
[console.assert(count_Odd_Squares(5, 100) === 8), console.assert(count_Odd_Squares(8, 65) === 6), console.assert(count_Odd_Squares(2, 5) === 1)]
",
344, this function to find the difference between two consecutive numbers in a given list.,"function diffConsecutiveNums(nums) {
    const result = nums.slice(0, nums.length - 1).map((a, i) => nums[i + 1] - a);
    return result;
}",345,"[console.assert(JSON.stringify(diffConsecutiveNums([1, 1, 3, 4, 4, 5, 6, 7]))) === JSON.stringify([0, 2, 1, 0, 1, 1, 1]), 
 console.assert(JSON.stringify(diffConsecutiveNums([4, 5, 8, 9, 6, 10]))) === JSON.stringify([1, 3, 1, -3, 4]), 
 console.assert(JSON.stringify(diffConsecutiveNums([0, 1, 2, 3, 4, 4, 4, 4, 5, 7]))) === JSON.stringify([1, 1, 1, 1, 0, 0, 0, 1, 2])]",
345," this function to find entringer number e(n, k).","
function zigzag(n, k) { 
    if (n === 0 && k === 0) { 
        return 1; 
    } 
    if (k === 0) { 
        return 0; 
    } 
    return zigzag(n, k - 1) + zigzag(n - 1, n - k); 
}
",346,"
[console.assert(zigzag(4, 3) === 5), console.assert(zigzag(4, 2) === 4), console.assert(zigzag(3, 1) === 1)]
",
346, this   function to count the number of squares in a rectangle.,"
function count_Squares(m, n) {
    if (n < m) {
        let temp = m;
        m = n;
        n = temp;
    }
    return (n * (n + 1) * (3 * m - n + 1)) / 6;
}
",347,"
[console.assert(count_Squares(4,3) === 20), console.assert(count_Squares(1,2) === 2), console.assert(count_Squares(2,2) === 5)];
",
347, this function to count sequences of given length having non-negative prefix sums that can be generated by given values.,"function find_ways(M) { 
    let n = Math.floor(M / 2); 
    let val = 1; 
    if (n > (2 * n - n)) { 
        n = (2 * n - n); 
    } 
    for (let i = 0; i < n; i++) { 
        val *= (2 * n - i); 
        val = Math.floor(val / (i + 1)); 
    } 
    let a = val;
    let b = Math.floor(a / (n + 1)); 
    return b; 
}",348,"[console.assert(find_ways(4) === 2), console.assert(find_ways(6) === 5), console.assert(find_ways(8) === 14)]",
348, this   function to check whether the given string is a binary string or not.,"function check(string) {
    let p = new Set(string);
    if (p.size <= 2 && [...p].every(value => value === '0' || value === '1')) {
        return ""Yes"";
    } else {
        return ""No"";
    }
}",349,"[console.assert(check(""01010101010"") === ""Yes""), console.assert(check(""name0"") === ""No""), console.assert(check(""101"") === ""Yes"")]",
349, this   function to minimize the length of the string by removing occurrence of only one character.,"function minimum_Length(s) {
    let maxOcc = 0;
    const n = s.length;
    const arr = new Array(26).fill(0);
    
    for (let i = 0; i < n; i++) {
        arr[s.charCodeAt(i) - 'a'.charCodeAt(0)] += 1;  
    }
    
    for (let i = 0; i < 26; i++) {
        if (arr[i] > maxOcc) {
            maxOcc = arr[i];
        }
    }
    
    return n - maxOcc;
}",350,"
[console.assert(minimum_Length(""mnm"") === 1), console.assert(minimum_Length(""abcda"") === 3), console.assert(minimum_Length(""abcb"") === 2)]
",
350, this   function to find the first element occurring k times in a given array.,"function first_Element(arr, n, k) { 
    const countMap = {}; 
    for (let i = 0; i < n; i++) { 
        if (arr[i] in countMap) { 
            countMap[arr[i]] += 1; 
        } else { 
            countMap[arr[i]] = 1; 
        } 
    } 
    for (let i = 0; i < n; i++) {  
        if (countMap[arr[i]] === k) { 
            return arr[i]; 
        } 
    } 
    return -1; 
}",351,"
[console.assert(first_Element([0,1,2,3,4,5],6,1) === 0), console.assert(first_Element([1,2,1,3,4],5,2) === 1), console.assert(first_Element([2,3,4,3,5,7,1,2,3,5],10,2) === 2)]
",
351, this   function to check whether all the characters in a given string are unique.,"
function unique_Characters(str) {
    for (let i = 0; i < str.length; i++) {
        for (let j = i + 1; j < str.length; j++) {
            if (str[i] === str[j]) {
                return false;
            }
        }
    }
    return true;
}
",352,"[
  console.assert(unique_Characters(""aba"") === false),
  console.assert(unique_Characters(""abc"") === true),
  console.assert(unique_Characters(""abab"") === false)
]",
352, this function to remove a specified column from a given nested list.,"function removeColumn(list1, n) {
    for (let i = 0; i < list1.length; i++) {
        list1[i].splice(n, 1);  
    }
    return list1;
}",353,"
[console.assert(removeColumn([[1, 2, 3], [2, 4, 5], [1, 1, 1]], 0).toString() === [[2, 3], [4, 5], [1, 1]].toString()), console.assert(removeColumn([[1, 2, 3], [-2, 4, -5], [1, -1, 1]], 2).toString() === [[1, 2], [-2, 4], [1, -1]].toString()), console.assert(removeColumn([[1, 3], [5, 7], [1, 3], [13, 15, 17], [5, 7], [9, 11]], 0).toString() === [[3], [7], [3], [15, 17], [7], [11]].toString())]
",
353, this function to find t-nth term of arithemetic progression.,"
function tn_ap(a, n, d) {
  const tn = a + (n - 1) * d;
  return tn;
}
",354,"
[console.assert(tn_ap(1,5,2) === 9), console.assert(tn_ap(2,6,4) === 22), console.assert(tn_ap(1,4,5) === 16)]
",
354, this   function to count the number of rectangles in a circle of radius r.,"
function count_Rectangles(radius) {
    let rectangles = 0;
    const diameter = 2 * radius;
    const diameterSquare = diameter * diameter;
    for (let a = 1; a < 2 * radius; a++) {
        for (let b = 1; b < 2 * radius; b++) {
            const diagnalLengthSquare = (a * a + b * b);
            if (diagnalLengthSquare <= diameterSquare) {
                rectangles++;
            }
        }
    }
    return rectangles;
}
",355,"
[console.assert(count_Rectangles(2) === 8), console.assert(count_Rectangles(1) === 1), console.assert(count_Rectangles(0) === 0)]
",
355, this function to find the third angle of a triangle using two angles.,"
function findAngle(a, b) {
  let c = 180 - (a + b);
  return c;
}
",356,"
[console.assert(findAngle(47, 89) === 44), console.assert(findAngle(45, 95) === 40), console.assert(findAngle(50, 40) === 90)]
",
356, this function to find the maximum element of all the given tuple records.,"
function findMax(testList) {
    let res = Math.max(...testList.flat().map(j => parseInt(j)));
    return res;
}
",357,"
[console.assert(findMax([(2, 4), (6, 7), (5, 1), (6, 10), (8, 7)]) === 10), console.assert(findMax([(3, 5), (7, 8), (6, 2), (7, 11), (9, 8)]) === 11), console.assert(findMax([(4, 6), (8, 9), (7, 3), (8, 12), (10, 9)]) === 12)]
",
357, this function to find modulo division of two lists using map and lambda function.,"
function moddiv_list(nums1, nums2) {
  const result = nums1.map((x, index) => x % nums2[index]);
  return [result];
}
",358,"
[console.assert(moddiv_list([4,5,6],[1, 2, 3]).toString() == [0, 1, 0].toString()), console.assert(moddiv_list([3,2],[1,4]).toString() == [0, 2].toString()), console.assert(moddiv_list([90,120],[50,70]).toString() == [40, 50].toString())]
",
358, this   function to check whether one root of the quadratic equation is twice of the other or not.,"
function Check_Solution(a, b, c) { 
    if (2 * b * b === 9 * a * c) { 
        return ""Yes""; 
    } else { 
        return ""No""; 
    } 
}
",359,"
[console.assert(Check_Solution(1, 3, 2) === ""Yes""), console.assert(Check_Solution(1, 2, 3) === ""No""), console.assert(Check_Solution(1, -5, 6) === ""No"")]
",
359, this function to find the nâ€™th carol number.,"
function get_carol(n) {
    let result = (2 ** n) - 1;
    return result * result - 2;
}
",360,"
[console.assert(get_carol(2) === 7), console.assert(get_carol(4) === 223), console.assert(get_carol(5) === 959)]
",
360, this function to remove empty lists from a given list of lists.,"function remove_empty(list1) {
    const remove_empty = list1.filter(x => !(Array.isArray(x) && x.length === 0)); 
    return remove_empty;
}",361,"[
  console.assert(JSON.stringify(remove_empty([[], [], [], ""Red"", ""Green"", [1, 2], ""Blue"", [], []])) === JSON.stringify([""Red"", ""Green"", [1, 2], ""Blue""])),
  console.assert(JSON.stringify(remove_empty([[], [], [], [], [], ""Green"", [1, 2], ""Blue"", [], []])) === JSON.stringify([""Green"", [1, 2], ""Blue""])),
  console.assert(JSON.stringify(remove_empty([[], [], [], "" "", [], [], ""programming"", ""language"", [], [], [], [], []])) === JSON.stringify(["" "", ""programming"", ""language""]))
]",
